INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,MARKET_RUN_ID,NOMOGRAM_ID_XML,NOMOGRAM_ID,CONSTRAINT_CAUSE,PRC,GROUP
2025-08-29T21:00:00-00:00,2025-08-29T22:00:00-00:00,2025-08-29,15,0,Hourly,DAM,18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,VE1 VEAVST-PAHRUM 138,47.56986,1
2025-08-29T22:00:00-00:00,2025-08-29T23:00:00-00:00,2025-08-29,16,0,Hourly,DAM,18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,VE1 VEAVST-PAHRUM 138,28.1215,1
2025-08-29T14:00:00-00:00,2025-08-29T15:00:00-00:00,2025-08-29,8,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,34.3554,2
2025-08-29T16:00:00-00:00,2025-08-29T17:00:00-00:00,2025-08-29,10,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,1.75999,2
2025-08-29T17:00:00-00:00,2025-08-29T18:00:00-00:00,2025-08-29,11,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,5.19179,2
2025-08-29T18:00:00-00:00,2025-08-29T19:00:00-00:00,2025-08-29,12,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,0.95447,2
2025-08-29T19:00:00-00:00,2025-08-29T20:00:00-00:00,2025-08-29,13,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,24.22673,2
2025-08-29T20:00:00-00:00,2025-08-29T21:00:00-00:00,2025-08-29,14,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,76.79209,2
2025-08-29T21:00:00-00:00,2025-08-29T22:00:00-00:00,2025-08-29,15,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,47.35635,2
2025-08-29T22:00:00-00:00,2025-08-29T23:00:00-00:00,2025-08-29,16,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,98.18711,2
2025-08-29T23:00:00-00:00,2025-08-30T00:00:00-00:00,2025-08-29,17,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,99.20224,2
2025-08-30T00:00:00-00:00,2025-08-30T01:00:00-00:00,2025-08-29,18,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,87.14385,2
2025-08-30T01:00:00-00:00,2025-08-30T02:00:00-00:00,2025-08-29,19,0,Hourly,DAM,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,SD1 MIGUEL-JMACHA_1 69,140.77508,2
